"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年9月","148.88","143.42","149.14","141.63","-","4.75%"
"2020年8月","142.13","135.69","142.13","134.21","-","5.32%"
"2020年7月","134.95","128.89","136.14","128.59","-","4.96%"
"2020年6月","128.57","124.72","128.79","123.61","-","2.07%"
"2020年5月","125.96","129.05","131.11","125.21","-","0.32%"
"2020年4月","125.56","126.45","128.29","122.21","-","0.21%"
"2020年3月","125.30","127.63","137.48","125.30","-","-1.13%"
"2020年2月","126.73","124.52","129.14","122.78","-","-6.48%"
"2020年1月","135.51","127.84","135.56","125.03","-","6.60%"
"2019年12月","127.12","129.41","130.06","124.62","-","-1.78%"
"2019年11月","129.42","129.83","130.08","126.79","-","-0.29%"
"2019年10月","129.79","129.24","130.96","127.88","-","0.86%"
"2019年9月","128.68","128.62","131.24","127.19","-","0.08%"
"2019年8月","128.58","130.32","132.83","128.03","-","-1.25%"
"2019年7月","130.21","130.43","131.51","126.23","-","1.49%"
"2019年6月","128.30","126.36","129.55","125.16","-","1.59%"
"2019年5月","126.29","125.78","127.36","121.88","-","0.69%"
"2019年4月","125.42","124.11","128.48","123.49","-","0.43%"
"2019年3月","124.88","123.01","125.43","121.30","-","1.25%"
"2019年2月","123.34","116.47","123.71","115.96","-","5.32%"
"2019年1月","117.11","117.76","120.33","116.40","-","-0.03%"
"2018年12月","117.15","115.02","120.40","114.94","-","0.96%"
"2018年11月","116.04","123.33","123.33","115.02","-","-6.11%"
"2018年10月","123.59","121.30","127.94","120.15","-","2.36%"
"2018年9月","120.74","117.47","122.43","117.16","-","2.58%"
"2018年8月","117.70","117.71","118.41","115.53","-","-0.21%"
"2018年7月","117.95","117.85","122.38","112.75","-","-0.15%"
"2018年6月","118.13","118.62","123.01","116.34","-","-1.08%"
"2018年5月","119.42","120.25","123.79","118.81","-","0.07%"
"2018年4月","119.34","126.78","128.40","119.06","-","-5.97%"
"2018年3月","126.92","127.93","130.61","123.33","-","-0.42%"
"2018年2月","127.45","127.70","138.96","123.39","-","-0.56%"
"2018年1月","128.17","130.14","130.93","126.18","-","-1.67%"
"2017年12月","130.35","130.91","136.00","128.51","-","-0.87%"
"2017年11月","131.50","128.32","132.89","126.83","-","1.80%"
"2017年10月","129.18","129.90","130.17","124.16","-","-2.08%"
"2017年9月","131.93","129.84","135.05","128.26","-","1.77%"
"2017年8月","129.64","127.70","131.05","125.11","-","1.45%"
"2017年7月","127.79","127.75","129.04","124.49","-","0.32%"
"2017年6月","127.38","121.82","127.69","120.33","-","4.36%"
"2017年5月","122.06","118.51","122.13","117.33","-","2.13%"
"2017年4月","119.51","118.09","121.41","117.21","-","0.80%"
"2017年3月","118.56","119.00","119.89","113.19","-","-0.61%"
"2017年2月","119.29","124.34","125.58","116.85","-","-3.67%"
"2017年1月","123.83","122.64","124.26","120.06","-","1.21%"
