"日期","收盘","开盘","高","低","涨跌幅"
"2020年9月","3.124","3.053","3.201","3.052","2.33%"
"2020年8月","3.053","3.035","3.135","2.940","2.69%"
"2020年7月","2.973","2.900","3.200","2.870","2.69%"
"2020年6月","2.895","2.738","3.010","2.703","6.94%"
"2020年5月","2.707","2.545","2.753","2.540","7.85%"
"2020年4月","2.510","2.660","2.682","2.490","-5.75%"
"2020年3月","2.663","2.750","2.865","2.578","-4.82%"
"2020年2月","2.798","2.850","2.955","2.798","-8.26%"
"2020年1月","3.050","3.175","3.215","3.015","-3.88%"
"2019年12月","3.173","3.215","3.287","3.140","-0.60%"
"2019年11月","3.192","3.343","3.343","3.163","-2.71%"
"2019年10月","3.281","3.190","3.378","3.115","3.99%"
"2019年9月","3.155","3.080","3.215","3.015","2.84%"
"2019年8月","3.068","3.192","3.194","3.015","-3.61%"
"2019年7月","3.183","3.315","3.315","3.140","-2.93%"
"2019年6月","3.279","3.320","3.324","3.243","-0.55%"
"2019年5月","3.297","3.400","3.415","3.265","-3.48%"
"2019年4月","3.416","3.140","3.480","3.114","11.09%"
"2019年3月","3.075","3.218","3.280","3.075","-4.15%"
"2019年2月","3.208","3.143","3.230","3.080","2.49%"
"2019年1月","3.130","3.280","3.280","3.091","-4.28%"
"2018年12月","3.270","3.420","3.443","3.268","-3.77%"
"2018年11月","3.398","3.562","3.588","3.350","-3.82%"
"2018年10月","3.533","3.640","3.668","3.525","-3.34%"
"2018年9月","3.655","3.650","3.727","3.605","1.53%"
"2018年8月","3.600","3.583","3.710","3.465","1.90%"
"2018年7月","3.533","3.550","3.615","3.444","-0.28%"
"2018年6月","3.543","3.666","3.722","3.534","-2.83%"
"2018年5月","3.646","3.700","3.780","3.621","-0.19%"
"2018年4月","3.653","3.800","3.800","3.520","-3.31%"
"2018年3月","3.778","3.860","3.975","3.733","-2.05%"
"2018年2月","3.857","3.986","3.990","3.847","-2.21%"
"2018年1月","3.944","3.950","4.120","3.881","0.74%"
"2017年12月","3.915","3.925","3.995","3.880","-0.05%"
"2017年11月","3.917","3.919","4.033","3.871","0.03%"
"2017年10月","3.916","3.700","3.917","3.630","7.64%"
"2017年9月","3.638","3.714","3.714","3.599","-1.01%"
"2017年8月","3.675","3.640","3.736","3.602","1.27%"
"2017年7月","3.629","3.580","3.643","3.553","1.43%"
"2017年6月","3.578","3.677","3.725","3.488","-2.51%"
"2017年5月","3.670","3.500","3.717","3.455","5.55%"
"2017年4月","3.477","3.334","3.519","3.280","5.05%"
"2017年3月","3.310","3.395","3.451","3.257","-1.43%"
"2017年2月","3.358","3.400","3.500","3.342","-0.15%"
"2017年1月","3.363","3.030","3.363","3.030","9.69%"
