"日期","收盘","开盘","高","低","涨跌幅"
"2020年9月","0.656","0.715","0.729","0.615","-7.12%"
"2020年8月","0.706","0.535","0.789","0.504","32.51%"
"2020年7月","0.533","0.658","0.724","0.520","-18.94%"
"2020年6月","0.658","0.640","0.959","0.618","0.78%"
"2020年5月","0.653","0.630","0.745","0.590","1.08%"
"2020年4月","0.646","0.663","0.785","0.543","-3.34%"
"2020年3月","0.668","1.105","1.283","0.318","-42.57%"
"2020年2月","1.163","1.514","1.684","1.116","-22.72%"
"2020年1月","1.505","1.919","1.946","1.503","-21.57%"
"2019年12月","1.919","1.796","1.952","1.693","8.17%"
"2019年11月","1.774","1.689","1.973","1.670","5.09%"
"2019年10月","1.688","1.670","1.860","1.505","1.20%"
"2019年9月","1.668","1.508","1.908","1.429","11.27%"
"2019年8月","1.499","2.025","2.061","1.443","-25.31%"
"2019年7月","2.007","2.045","2.150","1.939","0.00%"
"2019年6月","2.007","2.126","2.178","1.974","-5.91%"
"2019年5月","2.133","2.509","2.578","2.126","-14.82%"
"2019年4月","2.504","2.430","2.614","2.424","4.03%"
"2019年3月","2.407","2.719","2.768","2.340","-11.41%"
"2019年2月","2.717","2.645","2.740","2.624","3.19%"
"2019年1月","2.633","2.686","2.799","2.543","-1.97%"
"2018年12月","2.686","3.037","3.050","2.679","-10.26%"
"2018年11月","2.993","3.155","3.250","2.988","-4.95%"
"2018年10月","3.149","3.067","3.261","3.046","2.74%"
"2018年9月","3.065","2.860","3.113","2.855","7.17%"
"2018年8月","2.860","2.958","3.016","2.808","-3.44%"
"2018年7月","2.962","2.858","2.990","2.807","3.57%"
"2018年6月","2.860","2.862","3.010","2.822","0.00%"
"2018年5月","2.860","2.959","3.128","2.759","-3.21%"
"2018年4月","2.955","2.759","3.035","2.717","7.81%"
"2018年3月","2.741","2.866","2.936","2.739","-4.29%"
"2018年2月","2.864","2.724","2.957","2.648","5.60%"
"2018年1月","2.712","2.429","2.754","2.416","12.77%"
"2017年12月","2.405","2.411","2.504","2.314","-0.41%"
"2017年11月","2.415","2.379","2.437","2.304","1.60%"
"2017年10月","2.377","2.344","2.477","2.273","1.62%"
"2017年9月","2.339","2.127","2.359","2.016","10.33%"
"2017年8月","2.120","2.303","2.321","2.086","-7.67%"
"2017年7月","2.296","2.314","2.398","2.225","-0.35%"
"2017年6月","2.304","2.213","2.309","2.103","4.44%"
"2017年5月","2.206","2.282","2.423","2.181","-3.63%"
"2017年4月","2.289","2.396","2.405","2.165","-4.19%"
"2017年3月","2.389","2.415","2.629","2.348","-0.33%"
"2017年2月","2.397","2.461","2.524","2.310","-2.80%"
"2017年1月","2.466","2.439","2.555","2.305","0.82%"
